,DA Mean True,DA x_SEM,DA Mean Pred,DA SEM,5HT Residual Mean Pred,5HT Residual SEM,pH Residual Mean Pred,pH Residual SEM,NE Residual Mean Pred,NE Residual SEM
0,43,0.593205779,33.69663822,2.167131549,-93.81317099,2.610347035,0.019463296,0.000826593,27.10344043,4.223588335
1,94,0.756282101,162.1582962,2.210973614,-43.65408652,1.224523064,-0.034387304,0.000723599,2.162917804,1.09063096
2,159,0.51114458,163.5746666,1.741293219,-58.21241112,2.462803907,-0.013297379,0.001659508,25.08521652,3.033257637
3,217.8,0.727267872,193.6107779,3.369995992,-115.6443902,3.315148349,-0.019223242,0.001314388,18.87825729,3.574273755
4,283.4,0.700791085,253.876072,1.587541115,-62.86159594,1.8963109,-0.030147329,0.001031623,14.27471669,1.632794826
5,348,0.611690126,322.1771187,1.653313328,-112.9038484,3.47902992,0.022166129,0.000640876,41.67931085,5.420994312
6,404.6666667,0.610641835,420.7651859,1.727758036,-57.87797788,2.842717754,-0.01602159,0.000717476,-0.248452948,2.781396345
7,466,0.678183767,440.7883829,4.543170318,-61.24915784,3.622651714,-0.006852068,0.000449212,4.484267754,1.186258517
8,530.6,0.735736645,557.4757406,3.810721734,-72.96815521,2.984439376,-0.010450554,0.001044811,29.55795642,3.078245323
9,587,0.47385747,597.5429434,3.538284889,-98.9098214,3.376605207,-0.000262299,0.000767106,47.45182939,3.84080721
10,645,0.456816304,591.6191263,4.233419298,-63.03507377,2.349533122,-0.019801482,0.000852418,-16.59003043,0.959005408
11,722.4545455,0.258596704,619.1899795,3.11805605,-45.49329764,2.020273178,0.017092519,0.000920796,34.40999459,3.54333801
12,778.75,0.70968438,792.9824132,5.072034059,-103.0345212,3.022512813,-0.002760244,0.001382146,6.43545962,2.339244529
13,841.2758621,0.14636335,817.4360588,4.627806448,-168.0180044,6.777652111,0.005828491,0.000459944,52.69295068,5.273666746
14,915.4,0.444278266,902.9036065,4.599647296,-55.64255487,1.812309157,-0.003851788,0.000775888,12.30698595,1.185756138
15,973.25,0.784541273,967.9209894,3.649073181,-79.7194495,3.842595895,0.01199912,0.000551264,18.52939525,3.638362008
16,1035.8,0.599242958,1136.735494,4.729637876,-108.0297178,3.196719591,-0.004714924,0.000695851,20.33380962,3.296713079
17,1100.5,0.615940179,1138.703489,7.49933899,-81.92077302,3.443635739,-0.010331714,0.00124656,-52.32220328,2.095617558
18,1155,0.434335983,1204.187888,3.225300877,-58.25120923,3.329831475,0.005007172,0.000681565,23.42593286,4.554544014
19,1216.6,0.553469455,1194.958572,8.334909428,-124.7622809,3.800009833,0.004365499,0.000775839,44.36779805,3.820946764
20,1273.75,0.807092413,1327.28047,8.966991975,-72.46637321,3.267342814,-0.011418982,0.00099397,1.228990345,3.1642819
21,1337.6,0.540286232,1366.319135,4.363049077,-60.70505661,3.908035548,-0.001063663,0.000655209,33.83225702,4.095936221
22,1397.75,0.453492292,1399.970237,9.641001903,-120.4780582,4.178564325,-0.003435157,0.000991438,75.24685587,4.73142159
23,1461,0.803450106,1542.558347,5.602846337,-63.21150713,2.193125377,-0.005142575,0.000334155,2.886811352,2.133590304
24,1527,0.987674599,1559.934725,3.423525824,-80.73430675,5.325832405,-0.009816413,0.001672091,60.47237449,7.733953175
25,1581,0.639592661,1569.434096,7.876297968,-105.9423581,3.503447096,0.002536415,0.000712176,72.62218271,3.689615299
26,1673.689655,0.246609519,1621.599418,6.874809083,-129.1507508,4.904358162,0.001498457,0.000379336,49.13141641,4.171141965
27,1717.75,0.653981641,1822.586802,7.207027726,-61.10984151,4.271786533,0.003903659,0.000833894,-28.89494285,1.327733719
28,1774.8,0.757481598,1886.885531,7.627867499,-76.88018006,2.99334303,0.00037768,0.000579361,36.9670694,5.561902297
29,1840.6,0.666417399,1823.159742,8.853530308,-83.3584944,4.354347219,-0.004908068,0.000916029,79.60632989,4.870451216
30,1900.25,0.56347879,2049.894276,6.285338427,-63.59026164,3.887844519,-0.002852894,0.000398037,-46.44779872,2.07974865
31,1970.333333,0.600539452,1870.649994,6.860633689,-41.58617503,2.789875122,-0.0107065,0.001232108,92.29798229,4.781767557
32,2025,0.867472398,2191.335559,5.377147885,-194.6796871,2.433476831,0.007570233,0.000925516,157.3334521,8.215455869
33,2078,0.614676513,2108.529547,5.170582834,-42.7612157,2.5591315,-0.006190989,0.000363346,-19.5019099,2.168126808
34,2149.25,0.468876931,2061.485912,8.285055076,-52.57802618,4.350929079,0.009513019,0.00075278,60.89946561,6.23488286
35,2220.857143,0.24224335,2041.717233,4.246845922,-59.03006028,1.521867816,0.014032683,0.000811708,163.2212917,5.010529918
36,2273.4,0.597993976,2192.516569,7.914906543,-37.90805653,3.09727601,-0.011758675,0.001142851,0.95864388,2.592832117
37,2334,0.579994819,2360.196936,5.235267848,-51.64773675,3.737551477,0.007694321,0.000601776,124.2672359,7.917005519
38,2387,0.485172465,2292.835772,5.437411065,-114.9945528,3.678027455,-0.001476894,0.000676272,165.5838758,5.569091393
39,2458.8,0.701476604,2403.286843,6.613833478,-67.39998506,3.688136491,0.002103893,0.000464109,61.64479896,5.773638965