,NE Mean True,NE x_SEM,DA Residual Mean Pred,DA Residual SEM,5HT Residual Mean Pred,5HT Residual SEM,pH Residual Mean Pred,pH Residual SEM,NE Mean Pred,NE SEM
0,44.25,0.603533695,29.64380661,1.370644105,-97.99457049,1.756323051,0.02241083,0.001352249,77.74621072,4.129060458
1,103.25,0.450722847,24.48879032,3.582758108,28.85607226,8.794660605,-0.000919774,0.000894178,90.41491083,3.026750074
2,160.25,0.485494946,26.73212109,1.021413759,-68.55751268,1.975355339,0.026317526,0.0014823,156.9023409,4.846879425
3,221.6,0.58398749,27.5634316,2.006934932,-98.89257691,1.291490009,0.024858063,0.000888663,210.8598704,5.658604115
4,287.6,0.828594447,24.04315957,2.22105687,-63.47296697,1.826721193,-0.013661145,0.001103524,214.693718,3.395062574
5,348.5,0.460002903,19.32483109,2.203661013,-84.80666467,1.93695807,0.034641524,0.000880317,380.3441906,6.644157238
6,401.75,0.464404945,31.15017625,2.914028688,-110.7832276,1.889749817,0.013595459,0.001306364,383.1854076,9.946116676
7,472.8333333,0.71568493,43.13600402,2.545590594,-71.63559492,0.856762507,0.007509918,0.000460373,370.475849,4.267915492
8,540.5,0.7695694,-6.745039017,2.88839022,-75.78326295,2.401815587,0.01799838,0.001047776,642.3455173,7.011258756
9,592,0.776856385,39.57775643,2.709338652,-94.20798064,3.793794239,0.009956288,0.001297648,597.4314585,9.450103406
10,646,0.443841178,111.8676522,2.616807782,-10.95443229,2.707881004,0.000188751,0.000446974,516.1598763,5.622682173
11,722.1428571,0.301030592,-134.5808602,4.324364253,3.944899574,2.132742332,0.041020765,0.00132994,848.2507233,5.51813435
12,783.1666667,0.662692082,32.64450083,3.710809129,-12.00098759,7.198688411,0.016873089,0.000659089,795.358216,7.891034402
13,842.4642857,0.113513952,-32.47515894,5.759514425,-150.1635854,5.762692368,0.008261623,0.000391459,964.2066543,3.883676944
14,907.75,0.529887221,72.52896424,4.598226712,13.38662836,7.21225543,0.006861552,0.000351821,768.0662408,5.017107427
15,966,0.686703781,-11.8761631,3.088284651,-56.25497236,4.53516221,0.018457523,0.000645827,1086.730442,6.432712144
16,1035.8,0.665133975,2.044508953,3.582016513,-104.7142011,2.342444156,0.01599158,0.000754344,1083.703747,7.728244381
17,1093.75,0.438519858,72.8456687,5.473499106,26.92527747,8.540976474,0.01325485,0.00055602,1043.399701,6.091978691
18,1154,0.435295843,21.39605076,3.615835319,-51.78860979,3.310639999,0.015760011,0.000843148,1248.513712,3.136820319
19,1209,0.561716901,-4.340527815,6.020515353,-106.7685139,2.516952585,0.012709269,0.000681236,1307.485416,7.760886364
20,1278,0.586272325,-11.82093719,4.032554359,-124.7962488,2.1236974,0.007525631,0.000619395,1407.303461,5.472281814
21,1336.75,0.467093274,-19.71645467,5.144673696,5.676884363,5.48363565,0.01428702,0.000614683,1543.574158,4.440642742
22,1393.75,0.438519858,38.02532188,5.417641692,-118.0352553,1.651059634,0.018892205,0.000752364,1507.61256,8.358154908
23,1452.25,0.475066993,36.51533355,5.305989851,-112.8989128,3.159183159,0.00345033,0.000805941,1498.44367,8.685487351
24,1530,0.793374443,-8.213155103,3.929090906,-109.3539843,2.286251092,0.011534837,0.000522628,1707.14761,6.108160059
25,1599.25,0.498223053,-30.03552588,4.725098958,-111.1047553,1.821350328,-0.003645005,0.002023403,1917.833708,6.426443006
26,1677.857143,0.113306371,-21.1107384,6.511273412,-190.3393812,6.088336682,-0.000387362,0.00043204,1571.005273,5.395349489
27,1713,0.656926623,67.3955882,5.191251533,-39.6929355,5.671051175,0.008850851,0.000472983,1816.397178,6.230842468
28,1774.4,0.684600787,-27.96269753,4.80136481,-37.34533442,1.522723966,0.013639182,0.000979566,1921.868338,8.415671457
29,1840.6,0.636076089,13.7027679,5.982250963,-96.87486327,1.742891138,0.002182877,0.000847361,2076.230964,8.984723349
30,1904.25,0.446068899,-41.96265817,5.549329502,-58.8120421,3.738725455,-0.002716415,0.000912593,2027.835918,9.902773696
31,1967.6,0.647723754,28.11504058,2.787542482,-23.5050787,2.700080174,0.014663761,0.000880835,2037.913654,4.219404007
32,2029.5,0.659779393,42.29487122,6.181201034,-72.80945374,3.672243729,0.00620412,0.00080387,2172.799296,7.026116292
33,2087.8,0.73384697,-57.53122378,5.114140715,-47.43841801,3.745742444,-0.005794861,0.000684673,2238.249829,6.319456465
34,2148,0.506221724,34.99712797,7.095058844,-96.26927204,3.46027802,0.016367035,0.000559949,2365.31601,7.122927012
35,2220.863636,0.257719714,-30.70502165,3.290296812,-11.70583244,2.289903999,0.023770339,0.00102835,2201.73981,4.299442386
36,2276.666667,0.969722278,77.43713601,2.874438436,-47.20007851,4.016720154,0.010118695,0.000669782,2243.002975,5.154754709
37,2341,0.672297319,22.58678203,5.074604543,-82.63865901,2.315201369,-0.000408514,0.001030687,2464.800578,6.193584964
38,2405.75,0.583849839,-1.262043554,6.241635203,-4.543414261,3.143436097,0.0103608,0.000790733,2357.140525,3.598351267
39,2466.6,0.834374961,105.5844644,4.452776395,-45.59795849,2.204537541,0.012814123,0.000627486,2420.698027,3.845564999