,5HT Mean True,5HT x_SEM,DA Residual Mean Pred,DA Residual SEM,5HT Mean Pred,5HT SEM,pH Residual Mean Pred,pH Residual SEM,NE Residual Mean Pred,NE Residual SEM
0,48.75,0.535372337,-89.44141512,4.886183341,-163.0821998,10.8252508,0.010742596,0.001387556,96.31631314,6.584695119
1,105,0.46675808,-31.70202992,2.511682284,10.17587877,13.90147254,-0.016813247,0.001746491,-11.39362914,3.792517719
2,158,0.714738707,12.2605674,1.862664115,77.1642724,6.104072047,0.006289694,0.002174819,8.796126313,4.712075444
3,213.75,0.635861384,-85.52560999,5.681788454,111.5148114,10.21726282,0.018808626,0.001284904,115.2165513,7.685705122
4,282.8333333,0.593006038,-50.14187526,2.021929906,146.99054,10.00801455,0.000928395,0.00141135,21.67044544,4.214455876
5,342,0.48258486,-8.630114758,1.370094753,267.0124142,4.335059981,0.002185078,0.001876086,18.70481499,3.696921851
6,406.25,0.442310484,-99.533779,6.841320271,275.2931724,11.92135075,0.025268262,0.001075595,83.71744363,5.824890506
7,462,0.626942908,-11.19501073,3.243502864,398.0732645,12.88806328,0.018801454,0.001372376,0.640284891,2.625394284
8,528.6,0.701933245,-6.341253777,1.237241634,577.2513204,5.808063237,0.021811903,0.000642289,-19.38926776,3.322147919
9,588.25,0.515514719,16.43180537,1.674177648,393.9480181,14.77196643,0.001636202,0.002162465,42.16625966,3.642215782
10,645.75,0.434696179,15.16167623,2.002706007,550.9132783,12.23479777,-0.018635282,0.001275771,26.01578465,2.95179455
11,721.7,0.266696536,-65.14042246,3.065932175,719.8050441,2.788217678,0.022155331,0.00077154,-19.64776279,3.152150712
12,777.4285714,0.684024656,-16.83917612,2.251542275,715.4244639,10.50282929,0.026666127,0.000978462,3.769824157,2.982341695
13,841.2857143,0.111042506,-10.46497405,6.055994388,756.1019929,4.936679036,0.005115654,0.000494557,53.91922159,4.32579632
14,902,0.723444737,14.04674838,2.296988568,737.5214391,20.64763709,0.014536982,0.001254491,14.1661975,3.250993476
15,963,0.67013566,-5.582182474,2.105338611,1036.27967,7.444371504,0.033574943,0.000853725,14.44745142,3.408390528
16,1033.166667,0.704984285,-10.16621486,1.923040928,976.5141033,16.12538302,0.027208109,0.00113784,3.081959393,2.985572796
17,1103.75,0.638481478,35.44079334,4.106999585,894.5008224,19.48032025,0.004803082,0.001023077,-8.157462859,1.8955063
18,1151.75,0.48030927,-10.79224277,2.476618155,1189.148441,6.124806884,0.026787379,0.000889882,2.62135201,2.781870194
19,1217.8,0.740728181,-52.51168629,1.633557933,1156.786963,10.06782897,0.022077667,0.000915907,25.9474495,3.207138438
20,1276.25,0.566433796,15.64499211,4.193917531,1018.485295,21.52818071,-0.000567684,0.001487729,15.29991569,3.188995264
21,1335.2,0.520552238,-46.38888102,1.981798946,1490.330271,4.119089507,0.034721926,0.000674957,35.61810314,2.646560286
22,1398,0.464966296,3.597088167,3.259813284,1135.246148,23.56517198,0.026157269,0.001400313,54.69529371,4.198624864
23,1455.75,0.473306665,37.64014147,3.095499491,1188.866361,25.83604354,0.007346506,0.001066477,29.63763024,4.151863792
24,1523.833333,0.770087963,-12.69157905,2.929246968,1408.718083,19.13501584,0.0178282,0.001067034,64.26159878,2.470719333
25,1600,0.779236558,19.7789853,2.474979918,1590.110729,6.148396737,0.005076944,0.001186169,-5.368566256,2.422672158
26,1677.107143,0.130643243,-61.63628265,5.920524956,1450.657607,8.336287596,0.008265596,0.000417697,-16.45890056,4.664205318
27,1716.6,0.660784015,-5.525796515,2.42999418,1604.190919,17.21939528,0.01318812,0.000940121,18.70575813,3.109488778
28,1789.8,0.648053468,-28.84852924,3.387725987,1856.650611,5.622280252,0.02553952,0.000624845,23.17055036,1.784672164
29,1853.75,0.561995461,21.3369559,3.972859559,1564.967592,24.58401969,0.01170486,0.00128996,58.47976889,3.346680534
30,1903.5,0.437686283,33.54431378,3.845675362,1710.912694,22.42377094,0.012850634,0.001004719,22.86463719,3.091779268
31,1962.8,0.599688393,-0.860726288,2.586966697,2036.685632,3.011428351,0.017375004,0.001043761,48.64671601,2.541818769
32,2034,0.746688282,8.7867469,2.934562147,1853.313539,20.30951409,0.020959907,0.001405693,29.82663185,3.782986461
33,2090.5,0.501666671,-105.8395152,4.28594062,1667.105542,35.66452046,-0.027824291,0.003160011,103.0503955,6.411029804
34,2156,0.593691806,14.04472162,2.90415888,2176.515453,4.277406312,0.023930423,0.000988528,23.24620996,2.862380561
35,2222,0.265857169,-101.1442543,2.792310797,2154.314094,6.373462317,0.033657665,0.001287728,67.28115645,3.151230618
36,2285.8,0.822383783,-91.17182141,7.882700638,1869.261489,31.54509268,0.003796496,0.001347925,123.119099,4.902906031
37,2353,0.47385747,31.52929358,3.529278439,1981.399461,26.54936413,-0.010741633,0.00148023,33.76502775,2.740710892
38,2413,0.598411922,-11.27671714,1.882844481,2442.749161,2.445957422,0.024932756,0.001477861,41.92544197,2.531116743
39,2470.666667,0.651192303,-6.19401054,2.063643243,2403.692479,9.192131141,0.009156105,0.001443026,42.85059123,3.197961042