,pH Mean True,pH x_SEM,DA Residual Mean Pred,DA Residual SEM,5HT Residual Mean Pred,5HT Residual SEM,pH Mean Pred,pH SEM,NE Residual Mean Pred,NE Residual SEM
0,,,,,,,,,,
1,,,,,,,,,,
2,6.800000191,0,104.0242558,5.697972758,-27.2929395,3.292804866,6.977459769,0.00128229,-26.69220641,3.831087689
3,,,,,,,,,,
4,,,,,,,,,,
5,6.900000095,0,-32.22061623,3.204372416,-368.4404196,7.033138645,6.953137999,0.002636716,69.50060485,2.633410333
6,,,,,,,,,,
7,,,,,,,,,,
8,7,0,23.74376354,2.704501154,-64.74699245,4.860370513,7.066732743,0.004009327,67.53854147,1.889833606
9,,,,,,,,,,
10,,,,,,,,,,
11,7.099999905,0,-30.3242033,1.490135223,-34.87144053,2.299225602,7.124684291,0.002119343,74.49223752,1.821305729
12,,,,,,,,,,
13,,,,,,,,,,
14,7.199999809,0,-158.684765,6.267149859,-21.94711827,1.887731952,7.26405389,0.002191164,194.7529399,7.235927287
15,,,,,,,,,,
16,,,,,,,,,,
17,7.300000191,0,-14.43238545,1.457602542,37.04675508,2.102228871,7.30936502,0.001629842,11.19770878,1.687958933
18,,,,,,,,,,
19,7.397009809,2.36E-05,-4.3960457,0.513331703,-80.3047324,0.816355465,7.402687142,9.01E-05,40.23337815,0.518013574
20,,,,,,,,,,
21,,,,,,,,,,
22,7.5,0,7.645859357,2.371605128,-13.25870958,2.20677112,7.496584811,0.001430409,15.28622131,1.599166288
23,,,,,,,,,,
24,,,,,,,,,,
25,7.599999905,0,67.13910711,4.068490467,28.12575854,2.576737023,7.609970213,0.002349304,-15.42912555,2.406373501
26,,,,,,,,,,
27,,,,,,,,,,
28,7.699999809,0,60.2461563,4.380858765,-29.88616196,2.093828201,7.660550924,0.002157444,-14.90695441,1.555970223
29,,,,,,,,,,
30,,,,,,,,,,
31,7.800000191,0,-72.3287906,5.574672379,-129.3622262,3.359777807,7.787326445,0.001781671,1.425644607,3.954948948
32,,,,,,,,,,
33,,,,,,,,,,
34,7.900000095,0,-37.65057952,2.586432539,8.909481211,2.659642028,7.867364422,0.001234691,8.97887706,2.168707824
35,,,,,,,,,,
36,,,,,,,,,,
37,8,0,43.10518231,1.550124595,-80.93727536,3.366192645,7.960128756,0.000898511,-34.29057487,2.999796701
38,,,,,,,,,,
39,8.100000381,0,-29.97187822,0.761916453,8.03548141,1.738544061,8.019181622,0.003535738,-4.623871725,2.74175397